EngDispl,NumCyl,FE,NumGears,TransLockup,TransCreeperGear,IntakeValvePerCyl,ExhaustValvesPerCyl,VarValveTiming,VarValveLift
3.6,6,37.9,5,1,0,2,2,1,0
5.7,8,34.5,5,1,0,1,1,1,0
4.6,8,33.9,6,1,0,2,2,1,0
3.6,6,37.2998,7,1,0,2,2,1,1
3.6,6,36.544,7,1,0,2,2,1,1
3,6,36.9202,6,1,0,2,2,1,1
3,6,37.4259,6,1,0,2,2,1,1
3,6,35.4354,6,0,0,2,2,1,1
3,6,35.891,6,1,0,2,2,1,1
1.6,4,43.2979,6,0,0,2,2,1,0
1.6,4,45.5991,1,1,0,2,2,1,0
1.6,4,41.7,1,1,0,2,2,1,0
2.4,4,38.7,5,0,0,2,2,1,0
2.4,4,38.7,4,1,0,2,2,1,0
2.5,4,37.5899,5,0,0,2,2,0,1
2.5,4,36.6557,4,1,0,2,2,0,1
2.5,4,34.4341,5,0,0,2,2,1,0
2.5,4,31.3669,6,0,0,2,2,1,0
3.5,6,32.2,7,1,0,2,2,1,0
3.7,6,28.1,4,1,0,1,1,0,0
4.7,8,25.7,5,1,0,1,1,0,0
3.7,6,27.8,4,1,0,1,1,0,0
4.7,8,25.6,5,1,0,1,1,0,0
5.7,8,27.2,5,1,0,1,1,1,0
3.7,6,31.3641,6,1,1,2,2,1,0
3.7,6,31.3639,6,0,1,2,2,1,0
5,8,28.716,6,1,1,2,2,1,0
5,8,28.7009,6,0,1,2,2,1,0
3.7,6,24.4,4,1,0,1,1,0,0
4.7,8,25.6,5,0,0,1,1,0,0
4.7,8,24.6,5,1,0,1,1,0,0
5.7,8,25.6,5,1,0,1,1,1,0
3.7,6,28.5668,6,1,1,2,2,1,0
3.7,6,28.5674,6,0,1,2,2,1,0
5,8,25.8975,6,1,1,2,2,1,0
5,8,25.8972,6,0,1,2,2,1,0
6.2,8,19.5139,6,0,1,1,1,1,0
2.2,4,30.45,6,0,0,2,2,0,0
6,8,21.4734,6,1,0,1,1,1,0
6,8,21.4734,6,1,0,1,1,1,0
6,8,21.4734,6,1,0,1,1,1,0
4.6,8,23,4,1,1,1,1,0,0
5.4,8,21.8,4,1,1,1,1,0,0
4.6,8,23,4,1,1,1,1,0,0
5.4,8,21.6412,4,1,1,1,1,0,0
6.8,10,18.6,5,1,1,1,1,0,0
5.4,8,21.2,4,1,1,1,1,0,0
6,8,21.4734,6,1,0,1,1,1,0
6,8,21.4734,6,1,0,1,1,1,0
6,8,21.4734,6,1,0,1,1,1,0
4.8,8,22.8,6,1,0,1,1,1,0
6,8,21.8,6,1,0,1,1,1,0
6,8,21.6285,6,1,0,1,1,1,0
4.6,8,21.9,4,1,1,1,1,0,0
5.4,8,21.2,4,1,1,1,1,0,0
6.8,10,17.7,5,1,1,1,1,0,0
5.4,8,20.6,4,1,1,1,1,0,0
4.8,8,22.8,6,1,0,1,1,1,0
6,8,21.8,6,1,0,1,1,1,0
6,8,21.6515,6,1,0,1,1,1,0
3.6,6,35,6,1,0,2,2,1,0
3.6,6,35,6,1,0,2,2,1,0
2.7,4,37,6,1,0,2,2,1,0
3.5,6,34,6,1,0,2,2,1,0
3.5,6,30.0493,6,1,0,2,2,1,0
6,8,21.7,6,1,0,1,1,1,0
3.6,6,32.3,5,1,0,2,2,1,0
5.7,8,27.2,5,1,0,1,1,1,0
2,4,36.8,4,0,0,2,2,1,0
3.6,6,35.5,6,1,0,2,2,1,0
3.7,6,30.4,4,1,0,1,1,0,0
4,6,29.4,5,1,0,2,2,0,0
3.5,6,34.763,6,1,1,2,2,1,0
3.5,6,34.7675,6,1,1,2,2,1,0
6,8,32.8,1,0,0,1,1,1,0
6,8,21.7,6,1,0,1,1,1,0
2.4,4,40.3,6,1,0,2,2,1,0
2.4,4,37.3,6,0,0,2,2,1,0
3.5,6,35.8,6,1,0,2,2,1,0
5.4,8,24.1556,6,1,1,2,1,1,0
2,4,43.2,5,0,0,2,2,1,0
2,4,42.9733,1,0,0,2,2,1,0
3.2,6,34.5424,6,1,0,2,2,1,0
3.2,6,34.5424,6,1,0,2,2,1,0
3,6,35.5052,8,1,0,2,2,1,1
3,6,35.9931,8,1,0,2,2,1,1
3,6,32.286,8,1,0,2,2,1,1
4.4,8,28.1647,8,1,0,2,2,1,0
6,8,32.4,1,0,0,1,1,1,0
6.2,8,24.2,6,1,0,1,1,1,0
6.2,8,24.2,6,1,0,1,1,1,0
5.3,8,29,6,1,0,1,1,1,0
5.3,8,29,6,1,0,1,1,1,0
6,8,21.2,6,1,0,1,1,1,0
3.6,6,31.2,5,1,0,2,2,1,0
5.7,8,27.2941,5,1,0,1,1,1,0
3.6,6,32.9,6,1,0,2,2,1,0
3.7,6,28.5,4,1,0,1,1,0,0
4,6,28.5,5,1,0,2,2,0,0
6,8,32.4,1,0,0,1,1,1,0
5.3,8,29,6,1,0,1,1,1,0
6.2,8,24.2,6,1,0,1,1,1,0
6,8,21.2,6,1,0,1,1,1,0
5,8,27.4375,7,1,0,2,2,1,1
2.4,4,37.4,6,1,0,2,2,1,0
3.5,6,34.9,6,1,0,2,2,1,0
5,8,24.7928,6,1,0,2,2,1,1
5,8,23.6028,6,1,0,2,2,1,0
3,6,31.5,7,1,0,2,2,1,0
3,6,34.4,7,1,0,2,2,1,0
3,6,33.3,7,1,0,2,2,1,0
2,4,41.2,1,0,0,2,2,1,0
3,6,33.1281,8,1,0,2,2,1,1
2.5,4,32.8,4,1,0,2,2,1,0
2.5,4,37.6,5,0,0,2,2,1,0
2.5,4,37.0378,4,1,0,2,2,1,0
2.5,4,40.1077,1,1,0,2,2,0,1
2.5,4,37.137,6,0,0,2,2,0,1
3.6,6,34.2596,5,1,0,2,2,1,0
3.6,6,29.5,5,1,0,2,2,1,0
3,6,33.2,8,1,0,2,2,1,0
1.8,4,49.1,6,0,0,2,2,1,0
1.8,4,50.8,6,0,0,2,2,1,0
4.6,8,21.9,4,1,0,1,1,0,0
4.6,8,24.3,4,1,0,1,1,0,0
2,4,48.7,6,1,0,2,2,1,0
2,4,46.2,6,0,0,2,2,1,0
2.4,4,43.4319,6,1,0,2,2,1,0
2.4,4,44.8,6,0,0,2,2,1,0
2.4,4,59.9,6,0,0,2,2,1,0
2,4,51.7876,6,1,0,2,2,1,0
3.5,6,34.0288,1,0,0,2,2,1,0
2,4,39.4447,6,1,0,2,2,1,0
2,4,46.9,6,0,0,2,2,1,0
2.8,6,30.3,6,1,0,2,2,1,0
3,6,31.3025,6,1,0,2,2,1,0
3,6,34.4,6,1,0,2,2,1,0
2.4,4,56.3,6,0,0,2,2,1,0
